topic_label,lema_label,count
stability,stability,421
stability,stability,421
stability,financial_stability,128
stability,economic_stability,52
stability,emotional_stability,11
stability,environmental_stability,4
stability,health_stability,3
stability,personal_stability,3
stability,climate_stability,3
stability,political_stability,3
stability,mental_stability,3
stability,psychological_stability,2
stability,physical_stability,2
stability,material_stability,2
stability,social_stability,2
stability,more_stability,2
stability,world_stability,1
stability,some_stability,1
stability,global_stability,1
stability,career_stability,1
stability,sufficient_stability,1
stability,peace_stability,1
stability,economical_stability,1
stability,finically_stability,1
stability,enough_stability,1
stability,finacial_stability,1
stability,complete_stability,1
stability,libertad_stability,1
stability,term_stability,1
stability,good_stability,1
stability,spiritual_stability,1
