topic_label,lema_label,count
people,people,1354
people,mass,4
people,multitude,0
people,masses,0
people,people,1354
people,young_people,73
people,peoples,69
people,other_people,62
people,more_people,32
people,many_people,22
people,good_people,18
people,poor_people,17
people,needy_people,9
people,other_peoples,7
people,better_people,5
people,homeless_people,5
people,most_people,4
people,mass,4
people,less_people,4
people,happy_people,4
people,different_people,4
people,black_people,3
people,people’s,3
people,positive_people,3
people,fewer_people,3
people,minded_people,3
people,lgbtq_people,2
people,caring_people,2
people,real_people,2
people,best_people,2
people,countries_people,2
people,amazing_people,2
people,diverse_people,2
people,toxic_people,2
people,indigenous_peoples,2
people,normal_people,2
people,some_people,2
people,bad_people,2
people,racist_people,2
people,kinder_people,2
people,happier_people,2
people,little_people,1
people,every_people,1
people,lgbt_people,1
people,great_people,1
people,free_people,1
people,civilized_people,1
people,idea_people,1
people,weak_people,1
people,younger_people,1
people,many_peoples,1
people,older_people,1
people,honest_people,1
people,friendlier_people,1
people,ordinary_people,1
people,healthier_people,1
people,trans_people,1
people,individual_people,1
people,disabled_people,1
people,interesting_people,1
people,rich_people,1
people,genuine_people,1
people,transgender_people,1
people,future_people,1
people,extraordinary_people,1
people,indigenous_people,1
people,nice_people,1
people,time_people,1
people,egocentric_people,1
people,important_people,1
people,whole_people,1
people,helpless_people,1
people,successfull_people,1
people,mire_people,1
people,autistic_people,1
people,successful_people,1
people,good_peoples,1
people,useful_people,1
people,hard_people,1
people,friendly_people,1
people,powerful_people,1
people,heap,1
people,certain_people,1
people,oppressed_peoples,1
people,quality_people,1
people,environment_people,1
people,hungry_people,1
people,other_people’s,1
people,dear_people,1
people,miserable_people,1
people,vulnerable_people,1
people,right_people,1
people,world_people,1
people,evil_people,1
people,innocent_people,1
people,wise_people,1
people,french_people,1
people,disadvantaged_people,1
people,wiser_people,1
people,peace_people,1
people,prejudiced_people,1
people,street_people,1
people,community_people,1
people,gender_people,1
