topic_label,lema_label,count
good,good,1275
good,better,865
good,improve,167
good,best,108
good,full,45
good,just,17
good,goodness,14
good,break,13
good,honorable,2
good,respectable,1
good,beneficial,1
good,good,1275
good,fulfillment,71
good,fulfilling,50
good,full,45
good,expires=604799&amp;x,27
good,goodness,14
good,fulfilment,13
good,exploitation,13
good,honest,9
good,excellence,8
good,expectations,8
good,serious,7
good,excellent,6
good,honesty,6
good,fulfill,6
good,goods,6
good,existence,6
good,common_good,5
good,exchanges,5
good,examination,5
good,exciting,5
good,goodwill,4
good,self_fulfillment,4
good,personal_fulfillment,4
good,extinction,4
good,fullfilment,4
good,wider,4
good,expenses,3
good,expert,3
good,excessive,3
good,exponential,3
good,extra,3
good,intelligent,3
good,entrance_examination,3
good,public_examination,2
good,explore,2
good,very_good,2
good,ultra,2
good,human_exploitation,2
good,extincao,2
good,executive,2
good,friendly_exchanges,2
good,expectancy,2
good,outlet,2
good,life_expectancy,2
good,cultural_exchanges,2
good,existent,2
good,technical,2
good,exemplary,2
good,peoples_expectations,2
good,professional_fulfillment,2
good,extensive,2
good,many_good,2
good,successful_good,2
good,happiness_fulfillment,2
good,healthy_fulfilling,2
good,living_expenses,2
good,honorable,2
good,tech,2
good,really_good,2
good,total_fulfillment,2
good,explanation,2
good,external,2
good,honourable,2
good,foreign_executive,1
good,parents_expectations,1
good,certain_technical,1
good,luxurious_goods,1
good,expectency,1
good,life_expectency,1
good,exit,1
good,honor,1
good,exchange,1
good,extremism,1
good,professional_outlet,1
good,outside,1
good,greater_good,1
good,less_external,1
good,more_goodness,1
good,expresion,1
good,explores,1
good,donde_explores,1
good,every_serious,1
good,outsider,1
good,whatever_good,1
good,creative_outlet,1
good,less_exploitation,1
good,expansion,1
good,going,1
good,easy_going,1
good,excepted,1
good,less_excepted,1
good,creative_fulfillment,1
good,several_good,1
good,greater_honesty,1
good,happy_fulfilling,1
good,rich_fulfilling,1
good,experiments,1
good,most_fulfilling,1
good,reduced_exploitation,1
good,exporle,1
good,continued_good,1
good,exitosa,1
good,mujer_exitosa,1
good,existe,1
good,extraordinary,1
good,exista,1
good,earth_exploitation,1
good,good_expectations,1
good,exercise,1
good,goberment,1
good,good_goberment,1
good,some_extensive,1
good,social_good,1
good,goodlife,1
good,extended,1
good,expensive,1
good,exitos,1
good,muchos_exitos,1
good,mass_extinction,1
good,fullfil,1
good,exam,1
good,life_full,1
good,sound,1
good,goodluck,1
good,social_fulfilment,1
good,exeptance,1
good,more_exeptance,1
good,expertise,1
good,more_wider,1
good,animal_exploitation,1
good,exemplaire,1
good,citoyen_exemplaire,1
good,self_fullfilment,1
good,progressive_existence,1
good,expierences,1
good,unforgetable_expierences,1
good,moral_fulfilment,1
good,exploit,1
good,forex_exploitation,1
good,fullfilling,1
good,natural_goodness,1
good,phones,1
good,mobile_phones,1
good,decent_honest,1
good,intellectual_excellence,1
good,fullfill,1
good,experienced,1
good,extremist,1
good,major_exploitation,1
good,fully,1
good,other_serious,1
good,good_technical,1
good,technic,1
good,material_goods,1
good,feats,1
good,wonderful_feats,1
good,labor_exploitation,1
good,wonderful_intelligent,1
good,peace_full,1
good,financial_fulfillment,1
good,naval_technic,1
good,happy_goodwill,1
good,scientific_explanation,1
good,examples,1
good,other_examples,1
good,explosion,1
good,technology_explosion,1
good,their_full,1
good,more_fulfilling,1
good,common_goods,1
good,fast_goods,1
good,necessary_excellence,1
good,societys_expectations,1
good,techniques,1
good,work_techniques,1
good,diverse_exchanges,1
