topic_label,lema_label,count
best,better,865
best,best,108
better,better,865
better,best,108
better,beautiful,56
better,becomebetter,48
better,beings,35
better,human_beings,25
better,mankind,15
better,beauty,15
better,betterment,9
better,benevolence,7
better,beliefs,6
better,behavior,5
better,living_beings,5
better,boyfriend,4
better,benefits,4
better,benefit,4
better,beloved,3
better,belief,3
better,behaviors,3
better,beau,2
better,breast,2
better,bermanfaat,2
better,peach,2
better,full_believer,2
better,benevolent,2
better,much_better,2
better,natural_beauty,2
better,charitable,2
better,belle,2
better,believer,2
better,beijing,2
better,negative_beliefs,1
better,beninese,1
better,religions_belief,1
better,bella,1
better,every_mankind,1
better,social_behavior,1
better,egoistic_behaviors,1
better,india_best,1
better,weak_beings,1
better,stomach,1
better,empty_stomach,1
better,religious_belief,1
better,social_benevolence,1
better,more_benevolence,1
better,beast,1
better,better~,1
better,bears,1
better,care_bears,1
better,notre_belle,1
better,bernard,1
better,more_better,1
better,surrounding_better,1
better,natures_beauty,1
better,your_best,1
better,self_benefit,1
better,belittling,1
better,betterand,1
better,more_breast,1
better,bene,1
better,facendo_bene,1
better,belonging,1
better,true_belonging,1
better,most_beautiful,1
better,better_beautiful,1
better,yang_bermanfaat,1
better,begin,1
better,human_begin,1
better,this_beautiful,1
better,very_best,1
better,their_best,1
better,aggressive_behaviors,1
better,abetter,1
better,international_beauty,1
better,beach,1
better,what_better,1
better,common_benefit,1
better,retrograde_behaviors,1
better,bestow,1
better,bestow_benefit,1
better,respectful_benevolent,1
better,belong,1
better,earth_belong,1
better,beaucoup,1
better,children_behavior,1
better,besf,1
better,loyal_besf,1
better,beneficial,1
better,berhasil,1
better,inggin_berhasil,1
better,bersatu,1
better,tetap_bersatu,1
better,beautifull,1
better,berbuat,1
better,tetap_berbuat,1
better,berpegang,1
better,selalu_berpegang,1
better,bisa_bermanfaat,1
better,ideal_beliefs,1
better,riche_beau,1
better,free_better,1
better,beta,1
better,mutual_benefits,1
better,beruf,1
better,beendung,1
better,bekampfung,1
better,belongings,1
better,peoples_belongings,1
better,behaviour,1
better,friendly_behaviour,1
better,have_beloved,1
better,bear,1
better,next_bear,1
