topic_label,lema_label,count
happiness,happiness,1506
happiness,happiness,1506
happiness,hapiness,17
happiness,true_happiness,12
happiness,happines,10
happiness,more_happiness,7
happiness,overall_happiness,4
happiness,eternal_happiness,3
happiness,pure_happiness,2
happiness,happy_happiness,2
happiness,personal_happiness,2
happiness,complete_happiness,2
happiness,human_happiness,2
happiness,little_happiness,1
happiness,smallest_hapiness,1
happiness,much_happiness,1
happiness,more_happines,1
happiness,sincere_happiness,1
happiness,peace_happiness,1
happiness,health_happiness,1
happiness,genuine_happiness,1
happiness,creative_happiness,1
happiness,successful_happiness,1
happiness,full_happiness,1
happiness,internal_happiness,1
happiness,familia_happiness,1
happiness,peoples_happiness,1
happiness,dear_happiness,1
happiness,welfare_happiness,1
happiness,true_happines,1
happiness,friendship_happiness,1
happiness,moreee_happiness,1
happiness,real_happiness,1
happiness,family_happiness,1
happiness,myself_happiness,1
happiness,independence_happiness,1
happiness,sustainability_happiness,1
happiness,equity_happiness,1
happiness,correct_happiness,1
happiness,good_happiness,1
