topic_label,lema_label,count
save,preserve,3
save,save,2
save,relieve,0
same,same,41
same,satisfied,7
same,saude,4
same,sanitation,3
same,satisfying,3
same,sake,3
same,save,2
same,salvaguardato,2
same,sadness,2
same,less_sadness,2
same,salah,2
same,safty,2
same,salvation,2
same,proper_sanitation,1
same,satellites,1
same,continuamente_salvaguardato,1
same,sanctuaries,1
same,speciesist_sanctuaries,1
same,safest,1
same,sandia,1
same,maurice_sandia,1
same,saviour,1
same,savings,1
same,enough_savings,1
same,salaries,1
same,good_salaries,1
same,sales,1
same,satdium,1
same,pindi_satdium,1
same,everyones_sake,1
same,said,1
same,happy_satisfying,1
same,happy_satisfied,1
same,basic_sanitation,1
same,saint,1
same,sans,1
same,humaine_sans,1
same,good_sanitation,1
same,samll,1
